Time,Source MAC,Destination MAC,Source IP,Destination IP,Protocol,Source Port,Destination Port,Flags
2023-08-23 14:41:59,e8:5a:8b:65:48:c7,01:00:5e:00:00:fb,192.168.0.142,224.0.0.251,UDP,5353,5353,
2023-08-23 14:41:59,e8:5a:8b:65:48:c7,01:00:5e:00:00:fb,192.168.0.142,224.0.0.251,UDP,5353,5353,
2023-08-23 14:41:59,e8:5a:8b:65:48:c7,01:00:5e:00:00:fb,192.168.0.142,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,b0:a4:60:64:d1:88,01:00:5e:00:00:fb,192.168.0.251,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,b0:a4:60:64:d1:88,01:00:5e:00:00:fb,192.168.0.251,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,b0:a4:60:64:d1:88,01:00:5e:00:00:fb,192.168.0.251,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,b0:a4:60:64:d1:88,01:00:5e:00:00:fb,192.168.0.251,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,00:18:ae:ec:8b:aa,01:00:5e:7f:ff:fa,192.168.0.10,239.255.255.250,UDP,34455,3702,
2023-08-23 14:42:00,e8:5a:8b:65:48:c7,01:00:5e:00:00:fb,192.168.0.142,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:00,b0:a4:60:64:d1:88,01:00:5e:7f:ff:fa,192.168.0.251,239.255.255.250,UDP,52938,1900,
2023-08-23 14:42:01,34:02:86:5a:90:bf,01:00:5e:7f:ff:fa,192.168.0.40,239.255.255.250,UDP,61437,1900,
2023-08-23 14:42:01,34:02:86:5a:90:bf,01:00:5e:7f:ff:fa,192.168.0.40,239.255.255.250,UDP,61438,1900,
2023-08-23 14:42:01,16:83:d5:17:c8:d3,01:00:5e:00:00:fb,192.168.0.105,224.0.0.251,UDP,5353,5353,
2023-08-23 14:42:01,b0:a4:60:64:d1:88,01:00:5e:00:00:fb,192.168.0.251,224.0.0.251,UDP,5353,5353,
