Source IP,Source Name,Destination IP,Destination Name
0.0.0.0,DESKTOP-MTQLG57,255.255.255.255,Unknown
0.0.0.0,DESKTOP-MTQLG57,255.255.255.255,Unknown
169.254.166.106,Unknown,169.254.255.255,Unknown
169.254.166.106,Unknown,169.254.255.255,Unknown
169.254.166.106,Unknown,169.254.255.255,Unknown
8.8.4.4,Unknown,192.168.0.135,Unknown
169.254.50.61,Unknown,224.0.0.22,Unknown
169.254.50.61,Unknown,224.0.0.22,Unknown
169.254.50.61,DESKTOP-MTQLG57,224.0.0.22,Unknown
169.254.50.61,Unknown,224.0.0.22,Unknown
169.254.50.61,DESKTOP-MTQLG57,224.0.0.251,Unknown
169.254.50.61,Unknown,224.0.0.252,Unknown
169.254.50.61,DESKTOP-MTQLG57,224.0.0.251,Unknown
